word,coef
lồn,2.971754745942622
ngu,2.651423970562629
cc,2.2929900035264286
chó,2.086396383225274
đéo,2.080052236458828
đm,2.075206001926693
lon,2.0132370636237806
lol,2.00522029279332
vcl,1.6666285823999545
dm,1.6163294424240535
thằng,1.5462892081024424
mẹ,1.4483168103692028
sủa,1.4252780768945592
dell,1.4142187939347304
cặc,1.3493873038250281
cmm,1.3048755182290597
căng,1.3035367845854255
vc,1.2913863765446902
clmm,1.281350776120442
nhảm,1.2651764348293681
loz,1.2584396649497738
clgv,1.2396480785125146
nứng,1.2279996531042099
óc,1.2178119382235812
vãi,1.1966432293895872
chính,1.1926188862356144
chẳng,1.1806272795044077
não,1.1803084510126285
cave,1.1778660780569354
khung,1.125017345620373
clm,1.089294096934338
cl,1.0823254489762062
thức,1.074799952841252
loại,1.0529336946243197
tư,1.0490195635228936
bọn,1.0424604858981588
lũ,1.0358493013573087
đù,1.0195045600383021
me,1.0059735784062183
buồi,0.9950920990876658
giọng,0.9901854648860803
bo,0.9838010239465895
cs,0.9751667353632043
trinh,0.9420285916412215
ác,0.9342472811075949
âm,0.9319797213149099
cộng,0.9262229781461097
dơ,0.9181615684122578
thang,0.9160886148980247
đệch,0.9099647285373043
con,0.9093034484511073
tiền,0.9087638947552831
má,0.8921596463938916
nầy,0.8917814576917862
bán,0.8907106945526461
méo,0.8892960491821759
hít,0.8754364768613137
bắc,0.8738754191550863
bê,0.8694755919374582
báo,0.8588890231612265
sting,0.8579900968465927
nước,0.8507508051144239
dùng,0.8457510887454137
ló,0.8407625915427324
chỗ,0.8370999038897051
cút,0.8357920433191025
chùi,0.8270480719256944
đụ,0.8238045717795656
nó,0.8085136674087778
khủng,0.8035994903530437
ói,0.8018041461758615
vlòn,0.8018041461758615
cdm,0.8018041461758615
rẻ,0.7968344238899259
sự,0.7943443873886457
cuốn,0.7932916452982235
cứt,0.7853697569215928
cmt,0.7812961613287653
ngọt,0.7802301688748321
ảo,0.7792907253353387
hô,0.777002957103484
chai,0.7769980469624392
bucu,0.7745914679488973
bede,0.7728518830613692
nghiệt,0.7709039649343395
mày,0.7624649378528318
ngao,0.76040054023268
bẩn,0.7574762440169738
quơi,0.7563132234448675
địt,0.7562817212739842
mịe,0.7530602849696643
vài,0.7527170354133418
chet,0.7460709847532144
lú,0.7391479796139355
điên,0.7274123343916853
miền,0.7191793926073115
lone,0.7157969902698054
gì,0.7155392139816643
thân,0.7107646426214709
lứng,0.704700211347751
tìn,0.699549830272552
đạo,0.6989930094942154
nát,0.6966282642200426
pháp,0.6952625190769172
chữ,0.6937660705860828
binh,0.6891989784675977
cung,0.6885793793722934
chết,0.6881072538397972
dỗi,0.6871437743681904
lz,0.6827515040305034
trộm,0.6825228962247288
nợ,0.6819700593310428
lông,0.6811184622119012
khoá,0.6802937560513799
hồn,0.678724242951544
clgb,0.6784115717413496
quyên,0.6760372055875703
bu,0.6741614532750224
sl,0.6734703151522707
dừa,0.6731638300469589
kien,0.6719906246129246
an,0.6689938149484708
tởm,0.6677803930531724
cmnr,0.6671568086121347
chí,0.6641544720829776
nhựt,0.6621533026697858
ỉa,0.6610352697442201
mạng,0.6599061913664146
đien,0.6585630378234397
vl,0.6585430749633028
hiểu,0.6583752866221825
nghiện,0.6582271117550592
rui,0.6558663959227812
le,0.6540211982118554
trâu,0.6537738109669923
phím,0.6528945741661055
tím,0.652754103210454
lễ,0.6525773661106407
đmcs,0.6525284273343562
cu,0.6508705293792988
giúp,0.6496700600458291
mặc,0.6481814802244024
ngừi,0.6480846473882641
bú,0.6479899550667644
bố,0.6472921892903163
mạnh,0.6469223476225002
cởi,0.6457954916294641
lồnn,0.6448685522875064
cà,0.6447753414849392
thủng,0.6427117002774301
nóc,0.6427117002774301
quê,0.64258835334611
mé,0.6424256581020497
ngửi,0.642398891099366
còn,0.6344259586280826
thần,0.6333956667680697
theođến,0.6318971125081586
tẩu,0.6318971125081586
đắt,0.6317550507577689
lư,0.6315660605709774
nhìn,0.6293664787612518
đúng,0.6292588687352813
ass,0.6291029504511773
giận,0.6272795168208779
trồi,0.6266397152462162
vaicalon,0.6264455889746368
giùm,0.62239824273366
het,0.6212239434949806
mài,0.6203463626664294
hoang,0.6198322424630659
quânanh,0.6195349074837244
dogy,0.6195349074837244
ws,0.6183314916225583
hàn,0.6162039817150224
khùng,0.6116227363669091
chớ,0.6113748667862543
tổ,0.611183147369203
